DescripcionCIAN,ActividadBMXID,DescripcionBMX
SERVICIOS RELACIONADOS CON LA GANADERIA,0291021,INSEMINACION ARTIFICIAL Y OTROS SERVICIOS DE GANADERIA
SERVICIOS RELACIONADOS CON LA GANADERIA,0219916,CARTERA GANADERA DE ESTADOS ANALITICOS
SERVICIOS RELACIONADOS CON LA GANADERIA,0219908,USUARIOS MENORES GANADERIA
SERVICIOS RELACIONADOS CON LA GANADERIA,0219015,CRIA DE OTROS EQUINOS Y GANADO PARA EL TRABAJO
SERVICIOS RELACIONADOS CON LA GANADERIA,0214015,CRIA DE GANADO CABALLAR
SERVICIOS RELACIONADOS CON LA GANADERIA,0213017,CRIA DE GANADO DE LIDIA
SERVICIOS RELACIONADOS CON LA GANADERIA,0200006,GANADERÍA
SERVICIOS RELACIONADOS CON EL APROVECHAMIENTO FORESTAL,0191015,IRRIGACION DE TIERRAS
EXTRACCION DE PETROLEO Y GAS,4194015,PERFORACION DE POZOS PETROLEROS Y DE GAS
EXTRACCION DE PETROLEO Y GAS,1211028140,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL (GOBIERNO)
EXTRACCION DE PETROLEO Y GAS,1211010140,EXPLORACION DE PETROLEO POR COMPAÑIAS (GOBIERNO)
EXTRACCION DE PETROLEO Y GAS,1211010,EXPLORACION DE PETROLEO POR COMPAÑIAS
EXTRACCION DE PETROLEO Y GAS,1200005,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL
MINERIA DE CARBON MINERAL,1100007,EXTRACCION Y BENEFICIO DE CARBON MINERAL Y GRAFITO
MINERIA DE CARBON MINERAL,0313015,EXTRACCION DE CARBON VEGETAL
MINERIA DE HIERRO,1311018,EXTRACCION Y BENEFICIO DE MINERAL DE HIERRO
MINERIA DE ORO Y PLATA,1321017,EXTRACCION Y BENEFICIO DE ORO PLATA Y OTROS METALES PRECIOSOS
"MINERIA DE COBRE, NIQUEL, PLOMO Y ZINC",1329011020,EXTRACCION Y BENEFICIO DE COBRE PLOMO  ZINC Y OTROS MINERALES NO FERROSOS
MINERIA DE OTROS MINERALES METALICOS,1432012,EXTRACCION Y BENEFICIO DE FLUORITA
MINERIA DE OTROS MINERALES METALICOS,1322015,EXTRACCION Y BENEFICIO DE MERCURIO Y ANTIMONIO
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",3932036,TALLADO DE PIEDRAS PRECIOSAS
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",3353018,TALLER DE MARMOLERIA
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",1433010,EXTRACCION Y BENEFICIO DE SILICE
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",1431014,EXTRACCION Y BENEFICIO DE BARITA Y ROCA FOSFORICA
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",1419010,EXTRACCION Y BENEFICIO DE OTROS MATERIALES PARA CONSTRUCCION
"MINERIA DE PIEDRA CALIZA, MARMOL Y OTRAS PIEDRAS DIMENSIONADAS",1412014,EXTRACCION DE YESO
"MINERIA DE ARENA, GRAVA, ARCILLA Y OTROS MINERALES REFRACTARIOS",4292017,LABRADO Y COLOCACION DE PIEDRA
"MINERIA DE ARENA, GRAVA, ARCILLA Y OTROS MINERALES REFRACTARIOS",1421015,EXTRACCION Y BENEFICIO DE ARCILLAS REFRACTARIAS
"MINERIA DE ARENA, GRAVA, ARCILLA Y OTROS MINERALES REFRACTARIOS",1413012,EXTRACCION Y BENEFICIO DE ARENA Y GRAVA
"MINERIA DE ARENA, GRAVA, ARCILLA Y OTROS MINERALES REFRACTARIOS",1411016,EXTRACCION Y BENEFICIO DE PIEDRA
MINERIA DE OTROS MINERALES NO METALICOS,1439018,EXTRACCION Y BENEFICIO DE OTROS MINERALES NO METALICOS EXCEPTO SAL
SERVICIOS RELACIONADOS CON LA MINERIA,6699039,COMPRAVENTA DE MATERIAS PRIMAS DE ORIGEN MINERAL
SERVICIOS RELACIONADOS CON LA MINERIA,6621016,COMPRAVENTA DE CEMENTO CAL YESO Y OTROS PRODUCTOS A BASE DE MINERALES NO METALICOS
SERVICIOS RELACIONADOS CON LA MINERIA,3632016090,FABRICACION ENSAMBLE Y REPARACION DE MAQUINARIA EQUIPO Y TRACTORES  PARA LAS INDUSTRIAS EXTRACTIVAS Y DE TRANSFORMACIÂ?
SERVICIOS RELACIONADOS CON LA MINERIA,3354917,CARTERA DE PRODUCTOS MINERALES NO METALICOS DE EST
SERVICIOS RELACIONADOS CON LA MINERIA,3354909,USUARIOS MENORES INDUSTRIA PRODUCTOS DE MINERALES NO METALICOS
SERVICIOS RELACIONADOS CON LA MINERIA,3300001,FABRICACIÓN DE PRODUCTOS DE MINERALES NO METÁLICOS; EXCEPTO DEL PETRÓLEO Y DEL CARBÓN MINERAL
SERVICIOS RELACIONADOS CON LA MINERIA,3100005,REFINACIÓN DE PETRÓLEO Y DERIVADOS DEL CARBÓN MINERAL
SERVICIOS RELACIONADOS CON LA MINERIA,1400001,"EXTRACCIÓN DE MINERALES NO METÁLICOS, EXCEPTO SAL"
SERVICIOS RELACIONADOS CON LA MINERIA,1329912,CARTERA MINERA DE ESTADOS ANALITICOS
SERVICIOS RELACIONADOS CON LA MINERIA,1329904,USUARIOS MENORES MINERIA
SERVICIOS RELACIONADOS CON LA MINERIA,1329011,EXTRACCION Y BENEFICIO DE COBRE  PLOMO  ZINC Y OTROS MINERALES NO FERROSOS
SERVICIOS RELACIONADOS CON LA MINERIA,1300003,EXTRACCIÓN Y BENEFICIO DE MINERALES METÁLICOS
GENERACION Y TRANSMISION DE ENERGIA ELECTRICA,5011010150,GENERACION Y SUMINISTRO DE ENERGIA ELECTRICA (GOBIERNO)
GENERACION Y TRANSMISION DE ENERGIA ELECTRICA,4193017100,CONSTRUCCION E INSTALACION DE PLANTAS GENERADORAS Y LINEAS DE TRANSMISION Y DISTRIBUCION DE ENERGIA ELÂ?CTRICA
SUMINISTRO DE ENERGIA ELECTRICA,5012018150,DISTRIBUCION DE ENERGIA ELECTRICA (GOBIERNO)
SUMINISTRO DE ENERGIA ELECTRICA,5012018,DISTRIBUCION DE ENERGIA ELECTRICA
SUMINISTRO DE ENERGIA ELECTRICA,5011010,GENERACION Y SUMINISTRO DE ENERGIA ELECTRICA
"CAPTACION, TRATAMIENTO Y SUMINISTRO DE AGUA",4192019,PERFORACION DE NORIAS Y POZOS PARA AGUA
"CAPTACION, TRATAMIENTO Y SUMINISTRO DE AGUA",2131043060,PURIFICACION DE AGUA  EXCEPTO CAPTACION TRATAMIENTO CONDUCCION      Y DISTRIBUCION DE AGUA POTABLE
"CAPTACION, TRATAMIENTO Y SUMINISTRO DE AGUA",2131019,EMBOTELLADO DE AGUAS MINERALES
SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,6512017171,DISTRBUCION Y COMERCIALIZACION DE GAS
SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,6512017170,COMPRA VENTA DE GAS PARA USO DOMESTICO O COMERCIAL
EDIFICACION RESIDENCIAL,4111944,CONSTRUCCION DE VIVIENDA RESIDENCIAL
EDIFICACION RESIDENCIAL,4111928,CONSTRUCCION DE VIVIENDA TIPO MEDIO
